Retailer Name,Street Address,City,State,Zip,Minor Involved,Sale to Minor,Product Type,Brand,Inspection Date,Decision Date,Inspection Result,Link,Charges
"SHELL FOOD MART","1311 E BUTLER AVE","FLAGSTAFF","AZ",86001,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"HOMETOWN FOODS","106 W 5TH ST","BLUE RAPIDS","KS",66411,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"SARDIS FOOD MART","600 EAST LEE ST","SARDIS","MS",38666,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"SHELL FOOD MART","416 HWY 42","PETAL","MS",39465,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"GETTY FOOD MART","1446 EASTON ROAD","ROSLYN","PA",19001,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"FOOD MART","7701 123RD ST","OVERLAND PARK","KS",66213,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"SUPER II FOODS","210 COSBY ST","CENTREVILLE","MS",39631,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"HAZLEHURST FOOD MART","685-A CALDWELL DR","HAZLEHURST","MS",39083,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"A & J FOOD STORE","447 S EXTENSION ST","HAZLEHURST","MS",39083,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"SHELL FOOD MART","2800 RIDGE PKE","NORRISTOWN","PA",19403,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"MERION SQUARE GOURMET FOOD","340 RIGHTERS MILL RD","GLADWYNE","PA",19035,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"SNAP-GO GAS AND FOOD","15 BUCHANNAN VALLEY RD","ORTANNA","PA",17353,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"FORT NAMAQUA LIQUORS","3129 W EISENHOWER BLVD","LOVELAND","CO",80537,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"FRANCISCOS MINI MARKET","375 N 10TH ST","LEBANON","PA",17046,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"SMOKER FRIENDLY","759 GOLD HILL PL S","WOODLAND PARK","CO",80863,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"FRY'S","201 N SWITZER CANYON DR","FLAGSTAFF","AZ",86001,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"FUEL ON KANE","159 FRALEY STREET","KANE","PA",16735,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"WHITEKAR GAS LLC","300 SOUTH EASTON ROAD","GLENSIDE","PA",19038,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"LIBERTY GAS","1215 S TROOPER RD","AUDUBON","PA",19403,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"LIBERTY GAS","125 GRAVEL PKE","COLLEGEVILLE","PA",19426,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"WATERWAY GAS & WASH","4200 W 119TH ST","LEAWOOD","KS",66209,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"HONEY GARDEN","806 N BROAD STREET","PHILADELPHIA","PA",19130,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"GARYS SUPERETTE","4703 E LAKE RD","ERIE","PA",16511,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"KRALLS GENERAL STORE INC","27 MARKET ST","JONESTOWN","PA",17038,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"WAITE GENERAL STORE","455 HOULTON RD","WAITE","ME",04492,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
