Retailer Name,Street Address,City,State,Zip,Minor Involved,Sale to Minor,Product Type,Brand,Inspection Date,Decision Date,Inspection Result,Link,Charges
"WALGREENS #10523","1613 GLENN BLVD SW","FT PAYNE","AL",35968,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"UNITED FOOD AND FUEL #12","17662 MONTGOMERY HWY","HIGHLAND HOME","AL",36041,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"TOBACCO SHACK # 13","2760  B HWY 15","BAY SPRINGS","MS",39422,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"SAFEWAY #1706","1637 NORTH TREKELL ROAD","CASA GRANDE","AZ",85122,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"FREDS STORE #2740","584 MCCURDY AVE S","RAINSVILLE","AL",35986,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"SHORT STOP #3","2880 HIGHWAY 15 NORTH","BAY SPRINGS","MS",39422,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"3 C'S DISCOUNT BEER & TOB","503 WEST 3RD STREET","FOREST","MS",39074,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"LUCKYS SUPERMARKET #34","700 HIGHWAY 75","HENAGAR","AL",35978,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"KANGAROO EXPRESS #3668","1707 GLENN BLVD","FORT PAYNE","AL",35968,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"SHORT STOP 4","2647 HWY 15","BAY SPRINGS","MS",39422,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"MAPCO EXPRESS 5160","9000 AL HWY 40","HENAGAR","AL",35978,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"MAPCO EXPRESS 5166","1800 GAULT AVE NORTH","FORT PAYNE","AL",35967,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"MURPHY USA #5811","1915 GLEN BLVD SW","FORT PAYNE","AL",35968,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"B QUIK #60","1111 N MONTGOMERY ST","STARKVILLE","MS",39759,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"PHILLIPS 66","616 S BOWMAN AVE","DANVILLE","IL",61832,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"7-ELEVEN","43 REVERE ST","WINTHROP","MA",02152,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"RITE AID #7060","1303 GAULT AVENUE N","FORT PAYNE","AL",35967,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"FRANKIES ALL COUNTY GRILL","11309 AL HIGHWAY 75","IDER","AL",35978,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"BAY SPRINGS RED APPLE TEX","2827 HWY 15","BAY SPRINGS","MS",39422,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"HALEYS MINI MART & ARCADE","1101 PERRYSVILLE AVE","DANVILLE","IL",61832,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"BATES TEXACO","1007 FORT DALE RD","GREENVILLE","AL",36037,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"BEASLEYS GROCERY","14684 MONTGOMERY HIGHWAY","HIGHLAND HOME","AL",36041,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"BOWMAN MARATHON","851 E MAIN ST","DANVILLE","IL",61832,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"BOYZTOWN","117 BROADWAY","DENVER","CO",80203,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"BP","3814 N VERMILION ST","DANVILLE","IL",61832,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"DEMETRI BROS LIQUOR AND GIFTS","53 REVERE ST","WINTHROP","MA",02152,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"CAPPYS","1295 HWY 35 S","FOREST","MS",39074,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"CIRCLE K","2606 N VERMILLION","DANVILLE","IL",61832,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"THE COVE CONV","559 SHIRLEY ST","WINTHROP","MA",02152,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"FRANKIES CONVIENT MART","1916 MCCURDY AVE N","RAINSVILLE","AL",35986,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"OBRIENS CORNER TAVERN","800 E MAIN ST","DANVILLE","IL",61832,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"MAGEES CORNER LIQUORS","401 WINTHROP ST","WINTHROP","MA",02152,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"COUNTRY ONE STOP","6786 HONORAVILLE RD","HONORAVILLE","AL",36042,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"KATHYS COUNTRY STORE","1344 BOWDEN RD","HONORAVILLE","AL",36042,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"COUNTRY STORE","7191 HWY 11","CARRIERE","MS",39426,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"CUMBERLAND FARMS","48 REVERE ST","WINTHROP","MA",02152,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"CVS PHARMACY","3 WOODSIDE AV","WINTHROP","MA",02152,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"CVS PHARMACY","900 N MAIN ST","DANVILLE","IL",61832,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"DELTA EXPRESS","1718 MAIN STREET","RAINSVILLE","AL",35986,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"SHELL DEPOT","939 FORT DALE RD","GREENVILLE","AL",36037,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"DISCOUNT FOOD & MORE","2515 GAULT AVENUE SOUTH","FORT PAYNE","AL",35967,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"QUICK & EASY","1018 A HWY 18","PORT GIBSON","MS",39150,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"RAINSVILLE EXPRESS","155 MCCURDY AVENUE","RAINSVILLE","AL",35986,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"FYFFE EXPRESS","947 MAIN ST","FYFFE","AL",35986,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"EXXON","2154 EAST UNIVERSITY DR","AUBURN","AL",36830,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"XPRESS LANE FOOD & FUEL","1550 HWY 35 S","FOREST","MS",39074,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"HIGHLAND HOME FOOD MART","18534 MONTGOMERY HWY","HIGHLAND HOME","AL",36041,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"IDER FOODLAND","10691 AL HIGHWAY 75","IDER","AL",35978,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"RAINSVILLE FOODLAND","318 MCCURDY AVE N","RAINSVILLE","AL",35986,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"FYFFE FOODLAND","1331 MAIN ST","FYFFE","AL",35986,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"KT MINI MARKET & GAS","2602 N VERMILION ST","DANVILLE","IL",61832,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"MORGAN GENERAL MDSE","CAMP MCCAIN RD","GRENADA","MS",38901,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"STOP N GO","1147 MAIN STREET","FYFFE","AL",35986,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"HIGHLAND HOME SHELL","19020 MONTGOMERY HWY","HIGHLAND HOME","AL",36041,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"MAIN PACKAGE STORE INC","732 E MAIN ST","DANVILLE","IL",61832,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"SWETTS LIQUORS","3 SOMERSET AV","WINTHROP","MA",02152,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"THOMPSON TOWNE LIQUOR","253 WASHINGTON AV","WINTHROP","MA",02152,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"M & M SUPER STORE","410 CHURCH ST.","PORT GIBSON","MS",39150,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"MAGGIE T","715 HWY 35 N","BATESVILLE","MS",38606,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"MCKENZIE MALL","196 MAIN ST","MCKENZIE","AL",36456,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"THE MANSION","20 N TEJON ST","COLORADO SPRINGS","CO",80903,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"PARK PLACE MARKET","17463 US HWY 160","FORSYTH","MO",65653,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"SAGUACHE TOWN MARKET","616 GUNNISON AVENUE","SAGUACHE","CO",81149,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"MOBIL","30A MAIN ST","WINTHROP","MA",02152,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"SUPER PANTRY","610 S BOWMAN","DANVILLE","IL",61832,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"SCOTT PETROLEUM","HWY 8 EAST","GRENADA","MS",38902,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"PIGGLY WIGGLY STORE","1002 MAIN STREET","PORT GIBSON","MS",39150,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"PLEASANT STOP","18 PLEASANT ST","WINTHROP","MA",02152,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"STOP TO SAVE","121 S HIGHWAY 35","RAINSVILLE","AL",35986,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"SPAINS","318 2ND ST","GRENADA","MS",38902,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"STORE","CR 6 HWY 11 N","VOSSBURG","MS",39366,"No","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"WALGREENS","219 WOODLAND DR","FOREST","MS",39074,"Yes","No","N/A","N/A","Not available",09/30/2011,"No Violations Observed","","N/A"
"WALGREENS 04191","3445 TERRY ROAD","JACKSON","MS",39212,"Yes","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"WALGREENS #05072","2505 HIGHWAY 150","HOOVER","AL",35244,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"WALGREENS #06035","2101 MONTGOMERY HWY","BIRMINGHAM","AL",35244,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"WALGREENS #06800","703 S MEMORIAL DR","PRATTVILLE","AL",36067,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"WALGREENS #07962","12 SHELTON BEACH RD","SARALAND","AL",36571,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"WAL-MART SUPERCENTER 0863","4180 US HIGHWAY 431","ROANOKE","AL",36274,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"A-1 STOP","928 TELEGRAPH RD","PRICHARD","AL",36610,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"KEWANEE 1 STOP","HWY 80 & 1 20","KEWANEE","MS",39365,"Yes","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"VARIETY SHOP #1","HIGHWAY 51","PATTON","MO",63662,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"EDGES GROCERY #1","HIGHWAY 77 8 MI N OF LAFAYETTE","LAFAYETTE","AL",36862,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"SPRINT MART 104/FLORENCE SHELL","410 EAST MAIN STREET","FLORENCE","MS",39073,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"SMOKER FRIENDLY #104","1001 WEST MAIN STREET","STERLING","CO",80751,"Yes","Yes","Smokeless tobacco","Other","07/08/2011",09/29/2011,"Warning Letter","","1140.14(a)-Sale to a minor;1140.14(b)(1)-Failure to verify age"
"FREDS STORE #1058","1415 MARTIN LUTHER KING JR EXPRESSWAY","ANDALUSIA","AL",36420,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"CIRCLE K #108","105 SOUTH GRAND STREET","GREENFIELD","MO",65661,"Yes","Yes","Cigarettes in a package","Other","07/01/2011",09/29/2011,"Warning Letter","","1140.14(a)-Sale to a minor"
"PRATTVILLE PACE CAR #11","1680 E MAIN ST","PRATTVILLE","AL",36066,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"WALGREENS 11468","101 GREENVILLE BYPASS","GREENVILLE","AL",36037,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"WAL-MART SUPERCENTER #1229","2780 JOHN HAWKINS PKWY","HOOVER","AL",35244,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"WALGREENS  12333","4544 SAINT STEPHENS ROAD","PRICHARD","AL",36610,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"PUBLIX 1265","22530 US HWY 98 STE 100","FAIRHOPE","AL",36532,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"FREDS STORE #1283","414 N CRAFT HIGHWAY STE B","CHICKASAW","AL",36611,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"WAL-MART STORE #1462","501 WILLOW LANE","GREENVILLE","AL",36037,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"PACKAGE STORE 150","2804 JOHN HAWKINS PKWY STE 108","HOOVER","AL",35244,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"FRED'S #1505","125 PRAIRIE DRIVE","EAST PRAIRIE","MO",63845,"Yes","Yes","Cigarettes in a package","Other","06/22/2011",09/29/2011,"Warning Letter","","1140.14(a)-Sale to a minor"
"FREDS STORE #1565","310 EASTERN SHORE","FAIRHOPE","AL",36532,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"KANGAROO EXPRESS 1566","7801 MOFFETT ROAD","SEMMES","AL",36575,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"KANGAROO EXPRESS 1568","315 WEST LEE STREET","CHICKASAW","AL",36611,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"KANGAROO EXPRESS 1580 - PACKAGE STORE","807 CELESTE ROAD SUITE B","SARALAND","AL",36571,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"VALERO CORNER STORE #1606","7060 EAST BASELINE ROAD","MESA","AZ",85209,"Yes","Yes","Cigarettes in a package","Other","06/30/2011",09/29/2011,"Warning Letter","","1140.14(a)-Sale to a minor;1140.14(b)(1)-Failure to verify age"
"FRED'S 1753","2616 HIGHWAY 82 EAST","GREENWOOD","MS",38930,"Yes","Yes","Smokeless tobacco","Other","07/05/2011",09/29/2011,"Warning Letter","","1140.14(a)-Sale to a minor;1140.14(b)(1)-Failure to verify age"
"GREERS #18","75-A S SECTION ST","FAIRHOPE","AL",36532,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"HANDYS #2","430 GRANT AVE","JUNCTION CITY","KS",66441,"Yes","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"COPELAND STARVIN MARVINS 2","328 HIGHWAY 43","SARALAND","AL",36571,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"CLARKS #20","1380 INDUSTRIAL PKWY","SARALAND","AL",36571,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"FREDS STORE #2180","622 CHERRY VALLEY SHOPPING CTR","LANETT","AL",36863,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"SUNNY FOOD STORE #22","3069 HIGHWAY 150 S","HOOVER","AL",35244,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"RTE 236 KITTERY MOBIL","7 ROUTE 236","KITTERY","ME",03904,"Yes","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"ROUTE 236 VARIETY & GRILL","806 DOW HWY","ELIOT","ME",03903,"Yes","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"FREDS STORE #2540","505 N MAIN ST","OPP","AL",36467,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"BIG STAR 257","206 COTTON STREET","GREENWOOD","MS",38930,"Yes","Yes","Cigarettes in a package","Other","06/21/2011",09/29/2011,"Warning Letter","","1140.14(a)-Sale to a minor;1140.14(b)(1)-Failure to verify age"
"PIGGLY WIGGLY #262","32 PHILLIPS DR PLAZA","MIDFIELD","AL",35228,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"FREDS STORE #2668","715 E MAIN ST","PRATTVILLE","AL",36067,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"GREERS #27","1010 N WILSON AVE","PRICHARD","AL",36610,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"EXPRESS MART #3","1237 W HAMRIC DR","OXFORD","AL",36203,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"COPELAND STARVIN MARVINS 3","1028 SHELTON BEACH ROAD","SARALAND","AL",36571,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"SHELL MERRI MART #314","1100 HIGHWAY 43","SARALAND","AL",36571,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"MINIT MAN #316","3490 WALL TRIANA HWY","MADISON","AL",35758,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"BRUNOS 323","4350 OLD SHELL RD","MOBILE","AL",36608,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"FOOD WORLD 337","112 SARALAND LOOP","SARALAND","AL",36571,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"KANGAROO EXPRESS #3680","1200 BANKHEAD HWY W","BIRMINGHAM","AL",35204,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"KANGAROO EXPRESS #3821","2501 JOHN HAWKINS PARKWAY","HOOVER","AL",35244,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"KANGAROO EXPRESS #3826","1139 MARTIN LUTHER KING EXPRESSWAY","ANDALUSIA","AL",36420,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"KANGAROO EXPRESS #3830","716 S MEMORIAL DR","PRATTVILLE","AL",36067,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"KANGAROO EXPRESS #3831","1846 HWY 14","PRATTVILLE","AL",36066,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"EAGLE BIG CAT #4","407 N LAFAYETTE ST","LAFAYETTE","AL",36862,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"FOOD GIANT #4","1528 JACKSON BLVD","TARRANT","AL",35217,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"4 M SERVICE, INC.","2168 STATE HIGHWAY EAST","ROCKY COMFORT","MO",64861,"Yes","Yes","Cigarettes in a package","Other","07/06/2011",09/29/2011,"Warning Letter","","1140.14(a)-Sale to a minor"
"FLETCHER'S 4-WAY","1002 SOUTH DELESEPPS STREET","GREENVILLE","MS",38701,"Yes","Yes","Cigarettes in a package","Other","06/06/2011",09/29/2011,"Warning Letter","","1140.14(a)-Sale to a minor;1140.14(b)(1)-Failure to verify age"
"CEFCO 401","22772 HWY 98","FAIRHOPE","AL",36532,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"CEFCO 402","18983 GREENO RD","FAIRHOPE","AL",36532,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"SUMMIT FOOD STORE #43","404 N SECTION ST","FAIRHOPE","AL",36532,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"WAL-MART SUPERCENTER #4333","10040 COUNTY ROAD 48","FAIRHOPE","AL",36532,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"WINN DIXIE STORE #460","5841 ATLANTA HIGHWAY EASTDALE PLAZA","MONTGOMERY","AL",36117,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"WINN DIXIE STORE #463","2730 EASTERN BLVD","MONTGOMERY","AL",36117,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"CVS PHARMACY 4838","708 EAST MAIN STREET","PRATTVILLE","AL",36067,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"CVS PHARMACY #4838","722 EAST MAIN STREET","PRATTVILLE","AL",36067,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"CVS PHARMACY #4865","763 WILSON STREET","WETUMPKA","AL",36092,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"CVS PHARMACY 4889","1881 CHACE DRIVE","HOOVER","AL",35244,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"CVS PHARMACY 4904","3030 MONTGOMERY HWY","HOMEWOOD","AL",35244,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"CVS PHARMACY #4945","51 S GREENO RD","FAIRHOPE","AL",36532,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"CVS PHARMACY 4975","10 VETERANS MEMORIAL PARKWAY","LANETT","AL",36863,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"RITE AID PHARMACY #4979","1036 POST RD","WELLS","ME",04090,"Yes","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"STOP N GO 5","630 MLK EXPRESSWAY","ANDALUSIA","AL",36420,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"MR HENRYS 5","223 MLK EXPRESSWAY","ANDALUSIA","AL",36420,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"CEFCO 501","9733 OLD HWY 45 N","LAUDERDALE","MS",39335,"Yes","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"BEELINE STORE #509","104 HWY 82 BY-PASS","PRATTVILLE","AL",36067,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"BRUNOS 51","3780 RIVERCHASE VILLAGE","HOOVER","AL",35244,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"TIGER DISCOUNT LIQUORS #52","75 S SECTION ST","FAIRHOPE","AL",36532,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"WINN DIXIE STORE #527","701 E MAIN ST","PRATTVILLE","AL",36067,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"CROSSVILLE JET PEP # 529","146141 HIGHWAY 68","CROSSVILLE","AL",35962,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"ROUTE 56 EXPRESS","115 WEST KANSAS AVENUE","MCPHERSON","KS",67460,"Yes","Yes","Cigarettes in a package","Other","07/26/2011",09/29/2011,"Warning Letter","","1140.14(a)-Sale to a minor"
"CEFCO 582","5200 DALE DRIVE","MARION","MS",39342,"Yes","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"COUNTRY FAIR 59","4526 PINE AVENUE","ERIE","PA",16504,"Yes","Yes","Cigarettes in a package","Newport","06/29/2011",09/29/2011,"Warning Letter","","1140.14(a)-Sale to a minor;1140.14(b)(1)-Failure to verify age"
"PHILLIPS 66/CWIC CHIPS 66","1245 AMERICAN LEGION","FESTUS","MO",63028,"Yes","Yes","Cigarettes in a package","Other","06/08/2011",09/29/2011,"Warning Letter","","1140.14(a)-Sale to a minor;1140.14(b)(1)-Failure to verify age"
"CIRCLE K STORE #6691","2905 20TH AVE","VALLEY","AL",36854,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"MURPHY USA #6723","1091 INDUSTRIAL PKWY","SARALAND","AL",36571,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"MURPHY USA 6728","6401 ATLANTA HWY","MONTGOMERY","AL",36117,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"MURPHY USA #7030","4214 US HIGHWAY 431","ROANOKE","AL",36274,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"CIRCLE K # 7062","162 HAROLD L DOW HWY","ELIOT","ME",03903,"Yes","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"RITE AID #7104","101 S GREENO RD","FAIRHOPE","AL",36532,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"RITE AID #7126","4739 SAINT STEPHENS RD","PRICHARD","AL",36610,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"RITE AID #7172","606 S MEMORIAL DR","PRATTVILLE","AL",36067,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"RITE AID #7181","13 SHELTON BEACH RD","SARALAND","AL",36571,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"RITE AID #7214","114 E MCDOWELL RD.","JACKSON","MS",39204,"Yes","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"FREDS STORE #7325","163 GREENVILLE BYPASS","GREENVILLE","AL",36037,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"WALGREENS 7579","5093 W HARDY ST","HATTIESBURG","MS",39402,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
"FOOD GIANT #76","11934 STATE HIGHWAY 77","CHAFFEE","MO",63740,"Yes","Yes","Cigarettes in a package","Other","06/28/2011",09/29/2011,"Warning Letter","","1140.14(a)-Sale to a minor"
"GROCERY OUTLET #7704","505 N MAIN ST","ENTERPRISE","AL",36330,"No","No","N/A","N/A","Not available",09/29/2011,"No Violations Observed","","N/A"
